"","Gene"
"1","DP1"
"2","DP2"
"3","DP3"
"4","DP4"
"5","DP5"
"6","DP6"
"7","DP7"
"8","DP8"
"9","DP9"
"10","DP10"
"11","DP11"
"12","DP12"
"13","DP13"
"14","DP14"
"15","DP15"
"16","DP16"
"17","DP17"
"18","DP18"
"19","DP19"
"20","DP20"
"21","DP21"
"22","DP22"
"23","DP23"
"24","DP24"
"25","DP25"
"26","DP26"
"27","DP27"
"28","DP28"
"29","DP29"
"30","DP30"
"31","DP31"
"32","DP32"
"33","DP33"
"34","DP34"
"35","DP35"
"36","DP36"
"37","DP37"
"38","DP38"
"39","DP39"
"40","DP40"
"41","DP41"
"42","DP42"
"43","DP43"
"44","DP44"
"45","DP45"
"46","DP46"
"47","DP47"
"48","DP48"
"49","DP49"
"50","DP50"
"51","DP51"
"52","DP52"
"53","DP53"
"54","DP54"
"55","DP55"
"56","DP56"
"57","DP57"
"58","DP58"
"59","DP59"
"60","DP60"
"61","DP61"
"62","DP62"
"63","DP63"
"64","DP64"
"65","DP65"
"66","DP66"
"67","DP67"
"68","DP68"
"69","DP69"
"70","DP70"
"71","DP71"
"72","DP72"
"73","DP73"
"74","DP74"
"75","DP75"
"76","DP76"
"77","DP77"
"78","DP78"
"79","DP79"
"80","DP80"
"81","DP81"
"82","DP82"
"83","DP83"
"84","DP84"
"85","DP85"
"86","DP86"
"87","DP87"
"88","DP88"
"89","DP89"
"90","DP90"
"91","DP91"
"92","DP92"
"93","DP93"
"94","DP94"
"95","DP95"
"96","DP96"
"97","DP97"
"98","DP98"
"99","DP99"
"100","DP100"
"101","DP101"
"102","DP102"
"103","DP103"
"104","DP104"
"105","DP105"
"106","DP106"
"107","DP107"
"108","DP108"
"109","DP109"
"110","DP110"
"111","DP111"
"112","DP112"
"113","DP113"
"114","DP114"
"115","DP115"
"116","DP116"
"117","DP117"
"118","DP118"
"119","DP119"
"120","DP120"
"121","DP121"
"122","DP122"
"123","DP123"
"124","DP124"
"125","DP125"
"126","DP126"
"127","DP127"
"128","DP128"
"129","DP129"
"130","DP130"
"131","DP131"
"132","DP132"
"133","DP133"
"134","DP134"
"135","DP135"
"136","DP136"
"137","DP137"
"138","DP138"
"139","DP139"
"140","DP140"
"141","DP141"
"142","DP142"
"143","DP143"
"144","DP144"
"145","DP145"
"146","DP146"
"147","DP147"
"148","DP148"
"149","DP149"
"150","DP150"
"151","DP151"
"152","DP152"
"153","DP153"
"154","DP154"
"155","DP155"
"156","DP156"
"157","DP157"
"158","DP158"
"159","DP159"
"160","DP160"
"161","DP161"
"162","DP162"
"163","DP163"
"164","DP164"
"165","DP165"
"166","DP166"
"167","DP167"
"168","DP168"
"169","DP169"
"170","DP170"
"171","DP171"
"172","DP172"
"173","DP173"
"174","DP174"
"175","DP175"
"176","DP176"
"177","DP177"
"178","DP178"
"179","DP179"
"180","DP180"
"181","DP181"
"182","DP182"
"183","DP183"
"184","DP184"
"185","DP185"
"186","DP186"
"187","DP187"
"188","DP188"
"189","DP189"
"190","DP190"
"191","DP191"
"192","DP192"
"193","DP193"
"194","DP194"
"195","DP195"
"196","DP196"
"197","DP197"
"198","DP198"
"199","DP199"
"200","DP200"
