"","mgi_symbol","start_position","end_position","length"
"1","1700021F05Rik",43525133,43540994,15.861
"2","2810025M15Rik",157412352,157420236,7.884
"3","Aamp",74279840,74284738,4.898
"4","Acadl",66830839,66863277,32.438
"5","Acbd6",155558120,155691330,133.21
"6","Actr1b",36698114,36714422,16.308
"7","Actr3",125392905,125435727,42.822
"8","Adam23",63445891,63596276,150.385
"9","Adipor1",134415378,134433351,17.973
"10","Adora1",134199223,134235431,36.208
"11","Adss",177762962,177796511,33.549
"12","Aes",81559488,81566362,6.874
"13","Agap1",89454806,89897617,442.811
"14","Agfg1",82839483,82901182,61.699
"15","Agpat3",78269178,78352489,83.311
"16","Aire",78030022,78043610,13.588
"17","Aldh9a1",167349991,167368532,18.541
"18","Amd2",35708675,35711892,3.217
"19","Anapc16",59987409,60003135,15.726
"20","Angel2",190925112,190946962,21.85
"21","Ank3",69398773,70027438,628.665
"22","Ankzf1",75192151,75199387,7.236
"23","Aox1",58029931,58106413,76.482
"24","Apba3",81266960,81273246,6.286
"25","Apoa2",171225054,171226379,1.325
"26","Apof",128268671,128270153,1.482
"27","Arfgef1",10137571,10232670,95.099
"28","Arl4c",88673125,88702221,29.096
"29","Arpc2",74236084,74268209,32.125
"30","Arpc5",152766542,152775597,9.055
"31","Ascc1",60002805,60099988,97.183
"32","Asnsd1",53344617,53352752,8.135
"33","Aspm",139454772,139494091,39.319
"34","Astn1",158362273,158691781,329.508
"35","Atf3",191170296,191218039,47.743
"36","Atf6",170704674,170867771,163.097
"37","Atg16l1",87755870,87792428,36.558
"38","Atg4b",93751500,93790610,39.11
"39","Atp1b1",164437109,164458355,21.246
"40","Atp6v1h",5070018,5162529,92.511
"41","Avil",127000709,127020994,20.285
"42","Avpr1a",122448499,122453452,4.953
"43","B4galt3",171270328,171276896,6.568
"44","Bag2",33745484,33757795,12.311
"45","Bard1",71027498,71103146,75.648
"46","Bcl2",106538178,106714274,176.096
"47","Blzf1",164289800,164307489,17.689
"48","Bmpr2",59763400,59879014,115.614
"49","Bok",93685660,93695764,10.104
"50","Bpnt1",185332149,185357777,25.628
"51","Btg1",96617006,96622809,5.803
"52","Btg2",134075170,134079120,3.95
"53","Bzw1",58392898,58407353,14.455
"54","C4bp",130634773,130661632,26.859
"55","Cab39",85793441,85851576,58.135
"56","Cacna1s",136052750,136119822,67.072
"57","Cacybp",160202367,160212875,10.508
"58","Capn10",92934376,92947941,13.565
"59","Capn2",182467260,182517608,50.348
"60","Casp14",78711991,78718294,6.303
"61","Casp8",58795374,58847503,52.129
"62","Casq1",172209894,172219868,9.974
"63","Ccar1",62743928,62792286,48.358
"64","Ccdc115",34436670,34439672,3.002
"65","Ccdc93",121431049,121506460,75.411
"66","Cd28",60716800,60773359,56.559
"67","Cd34",194938819,194961279,22.46
"68","Cd55",130439027,130462744,23.717
"69","Cdc73",143598800,143702893,104.093
"70","Cdk1",69335146,69352938,17.792
"71","Cdk18",132112237,132139684,27.447
"72","Cdk2",128697939,128705031,7.092
"73","Cdk5r2",74854934,74857732,2.798
"74","Cenpl",161070713,161086724,16.011
"75","Cep350",155844964,155973255,128.291
"76","Cfh",140084708,140183764,99.056
"77","Cfhr1",139547053,139560272,13.219
"78","Cflar",58711508,58758884,47.376
"79","Chchd10",75933130,75937747,4.617
"80","Chpf",75474569,75479307,4.738
"81","Chpt1",88452745,88504073,51.328
"82","Cited2",17723218,17725674,2.456
"83","Clk1",58410189,58424066,13.877
"84","Cnih4",181144693,181168994,24.301
"85","Col19a1",24261890,24587472,325.582
"86","Col3a1",45311538,45349706,38.168
"87","Col4a3",82586921,82722059,135.138
"88","Col4a4",82448423,82586849,138.426
"89","Col5a2",45374321,45503282,128.961
"90","Col6a2",76595762,76623630,27.868
"91","Copa",172082529,172122330,39.801
"92","Cops5",10024601,10038168,13.567
"93","Cops7b",86582904,86609375,26.471
"94","Cops8",90602981,90613341,10.36
"95","Cox5b",36691449,36693681,2.232
"96","Cr1l",195097382,195131586,34.204
"97","Creb1",64532645,64604548,71.903
"98","Creg1",165763746,165775308,11.562
"99","Cryga",65100389,65103373,2.984
"100","Csrp1",135720061,135752232,32.171
"101","Cul3",80264923,80340480,75.557
"102","Cxcr2",74153989,74161246,7.257
"103","Cxcr4",128588199,128592293,4.094
"104","Cyb5r1",134405559,134411740,6.181
"105","D10Jhu81e",78162066,78169782,7.716
"106","D1Ertd622e",97606318,97662074,55.756
"107","D1Pas1",186967416,186970627,3.211
"108","D2hgdh",93824909,93852348,27.439
"109","Dars",128363707,128417368,53.661
"110","Dbi",120113280,120121078,7.798
"111","Dcaf8",172148084,172197005,48.921
"112","Ddr2",169972307,170110762,138.455
"113","Ddt",75771230,75773414,2.184
"114","Ddx18",121553835,121567989,14.154
"115","Dedd",171329145,171342331,13.186
"116","Degs1",182275772,182282804,7.032
"117","Des",75360329,75368579,8.25
"118","Dhx9",153455758,153487660,31.902
"119","Dna2",62947026,62974185,27.159
"120","Dnajb2",75236406,75245692,9.286
"121","Dnajb3",88204732,88205782,1.05
"122","Dnpep",75307896,75317990,10.094
"123","Dpt",164796644,164824266,27.622
"124","Dtl",191537356,191575544,38.188
"125","Dtymk",93792576,93801934,9.358
"126","Dusp12",170873498,170885540,12.042
"127","Dusp6",99263231,99267489,4.258
"128","Edem3",151755371,151822051,66.68
"129","Eef1b2",63176825,63180486,3.661
"130","Egr2",67535475,67542188,6.713
"131","Egr2",67535504,67542217,6.713
"132","Eif4e2",87213914,87240488,26.574
"133","Eif4ebp2",61428491,61452661,24.17
"134","Eif5b",37998010,38055579,57.569
"135","Elf3",135253575,135258568,4.993
"136","Elk3",93247414,93311135,63.721
"137","Elk4",132007607,132032612,25.005
"138","En1",120602418,120607992,5.574
"139","Enah",181896384,182019990,123.606
"140","Epha4",77367185,77515088,147.903
"141","Ephx1",180976210,181020904,44.694
"142","Eprs",185363044,185428360,65.316
"143","Erbb4",68032186,69108059,1075.873
"144","Ercc5",44147744,44181260,33.516
"145","Esr1",4611593,5005614,394.021
"146","Esyt1",128509965,128525871,15.906
"147","Exo1",175880581,175913489,32.908
"148","Eya1",14168954,14310235,141.281
"149","Eya4",23102963,23350786,247.823
"150","F11r",171437535,171464603,27.068
"151","F5",164151838,164220277,68.439
"152","Fam126b",58522806,58586323,63.517
"153","Farsb",78417975,78488897,70.922
"154","Fcgr2b",170958617,170976547,17.93
"155","Fh1",175600374,175625635,25.261
"156","Fhl2",43123074,43196984,73.91
"157","Fmod",134037254,134048277,11.023
"158","Fn1",71585520,71653200,67.68
"159","Fstl3",79777272,79782630,5.358
"160","Fyn",39368855,39565381,196.526
"161","Fzd7",59482424,59486955,4.531
"162","G0s2",193272161,193273217,1.056
"163","Gadd45b",80930073,80932204,2.131
"164","Gas5",161034422,161038539,4.117
"165","Gdap1",17145362,17164271,18.909
"166","Gdf11",128882295,128891718,9.423
"167","Glb1l",75198236,75210813,12.577
"168","Gli1",127329882,127341974,12.092
"169","Gli2",118834132,119053619,219.487
"170","Glul",153899944,153909723,9.779
"171","Gm13363",19992921,19993442,0.521
"172","Gm15455",33836124,33838680,2.556
"173","Gpatch2",187215508,187351704,136.196
"174","Gpc1",92831645,92860779,29.134
"175","Grem2",174833785,174921819,88.034
"176","Gstt2",75831114,75837424,6.31
"177","H3f3a",180800832,180813943,13.111
"178","Hcn2",79716634,79736108,19.474
"179","Hdlbp",93405940,93478815,72.875
"180","Helb",120083608,120112987,29.379
"181","Hes6",91411483,91414038,2.555
"182","Hibch",52844929,52920986,76.057
"183","Hjurp",88262471,88277633,15.162
"184","Hk1",62268855,62379908,111.053
"185","Hlx",184727140,184732619,5.479
"186","Hmga2",120361275,120476469,115.194
"187","Hnrnph3",63014664,63024217,9.553
"188","Hnrnpu",178321108,178337797,16.689
"189","Hnrnpu",178321107,178337796,16.689
"190","Hsd11b1",193221634,193264075,42.441
"191","Hsd17b7",169949535,169969241,19.706
"192","Hsp90b1",86690209,86705509,15.3
"193","Hspd1",55077835,55088243,10.408
"194","Hspe1",55088132,55091307,3.175
"195","Iars2",185284726,185329396,44.67
"196","Idh1",65158616,65186500,27.884
"197","Ifi203",173920407,173942672,22.265
"198","Ifi204",173747293,173766943,19.65
"199","Ifi205",174011998,174031810,19.812
"200","Igfbp2",72824503,72852474,27.971
"201","Igfbp5",72857932,72874884,16.952
"202","Igsf8",172261641,172319841,58.2
"203","Ikbke",131254343,131279606,25.263
"204","Ikzf2",69531214,69687245,156.031
"205","Il18rap",40515362,40551705,36.343
"206","Il1r1",40225080,40317257,92.177
"207","Il1rl1",40429570,40465415,35.845
"208","Ilkap",91373861,91398815,24.954
"209","Imp4",34439851,34449356,9.505
"210","Inha",75507077,75510366,3.289
"211","Inhbb",119415465,119422248,6.783
"212","Inpp1",52785427,52817688,32.261
"213","Inpp4a",37299865,37410736,110.871
"214","Ints7",191575636,191623688,48.052
"215","Irf6",193153111,193172023,18.912
"216","Irs1",82233101,82291416,58.315
"217","Itm2c",85894281,85908675,14.394
"218","Itpkb",180330485,180424802,94.317
"219","Ivns1abp",151344477,151364422,19.945
"220","Kcnk2",189207930,189402273,194.343
"221","Kdm5b",134560171,134635285,75.114
"222","Kif1a",93015464,93101951,86.487
"223","Kifap3",163779583,163917109,137.526
"224","Kitl",100015630,100100416,84.786
"225","Klf7",64029447,64122282,92.835
"226","Lactb2",13623330,13660546,37.216
"227","Lama4",38965515,39110188,144.673
"228","Lamb3",193207699,193343878,136.179
"229","Lamc1",153218922,153332786,113.864
"230","Lamc2",153122756,153186447,63.691
"231","Lancl1",67000517,67038872,38.355
"232","Lbr",181815335,181843046,27.711
"233","Lefty1",180935022,180938400,3.378
"234","Lhx9",138825186,138848577,23.391
"235","Lin9",180641150,180690694,49.544
"236","Lpgat1",191717834,191784255,66.421
"237","Lrrfip1",90998737,91128944,130.207
"238","Lum",97565128,97572703,7.575
"239","Lypla1",4807788,4848410,40.622
"240","Man1a",53904785,54076609,171.824
"241","Map4k4",39900913,40026310,125.397
"242","Mapkapk2",131053700,131097826,44.126
"243","Mark1",184896789,184999570,102.781
"244","Mcm3",20802968,20820312,17.344
"245","Mcm6",128331590,128359664,28.074
"246","Mdm4",132959484,133030561,71.077
"247","Med23",24869986,24913681,43.695
"248","Mff",82724890,82752394,27.504
"249","Mgst3",167371966,167393841,21.875
"250","Mif",75859353,75860240,0.887
"251","Mlph",90915085,90951142,36.057
"252","Mpz",171150711,171161130,10.419
"253","Mr1",155127277,155146814,19.537
"254","Mrpl15",4773206,4785739,12.533
"255","Mrpl30",37890477,37898535,8.058
"256","Mrpl42",95480805,95501940,21.135
"257","Mrpl44",79776018,79781445,5.427
"258","Mrps14",160195215,160202170,6.955
"259","Myb",21124935,21160984,36.049
"260","Mybl1",9667415,9700209,32.794
"261","Myl1",66924295,66945404,21.109
"262","Myl6b",128494157,128498685,4.528
"263","Myo1b",51749765,51916071,166.306
"264","Nab1",52457294,52500679,43.385
"265","Nab2",127660918,127668568,7.65
"266","Naca",128035575,128048637,13.062
"267","Nap1l1",111473223,111498150,24.927
"268","Nav1",135434580,135607295,172.715
"269","Ncf2",152800194,152836991,36.797
"270","Nck2",43444579,43570515,125.936
"271","Ncl",86344719,86359400,14.681
"272","Ncoa2",13139105,13374083,234.978
"273","Ndufa10",92439010,92473860,34.85
"274","Ndufa12",94198720,94221443,22.723
"275","Ndufb3",58586384,58595964,9.58
"276","Ndufs1",63143596,63176833,33.237
"277","Ndufs2",171234853,171251388,16.535
"278","Nedd1",92684746,92722420,37.674
"279","Nek2",191821444,191833050,11.606
"280","Nek7",138482875,138620141,137.266
"281","Nfyb",82748701,82764144,15.443
"282","Nit1",171338008,171345646,7.638
"283","Nop58",59684971,59719044,34.073
"284","Npl",153503015,153550045,47.03
"285","Nr5a2",136842571,136960448,117.877
"286","Nucks1",131910534,131936321,25.787
"287","Nvl",181087138,181144204,57.066
"288","Ormdl1",53297095,53310309,13.214
"289","Os9",127095650,127121131,25.481
"290","Palm",79793572,79820896,27.324
"291","Pam",97795114,98095646,300.532
"292","Parp1",180568924,180601254,32.33
"293","Pbx1",168119364,168432270,312.906
"294","Pcnt",76351263,76442786,91.523
"295","Pcp4l1",171173262,171196268,23.006
"296","Pdcl3",38985608,38997238,11.63
"297","Pde6d",86542994,86582629,39.635
"298","Pea15a",172196728,172206804,10.076
"299","Per2",91415982,91459324,43.342
"300","Perp",18845020,18857073,12.053
"301","Pex19",172126755,172136493,9.738
"302","Pex7",19853900,19907689,53.789
"303","Pfdn2",171345670,171359254,13.584
"304","Pfkfb2",130689182,130729253,40.071
"305","Phlda3",135766119,135769136,3.017
"306","Pign",105518422,105663677,145.255
"307","Pikfyve",65186683,65278695,92.012
"308","Pkp1",135871395,135919207,47.812
"309","Pla2g4a",149829618,149961290,131.672
"310","Plekhb2",34849976,34879580,29.604
"311","Plxna2",194618218,194816869,198.651
"312","Pnkd",74284930,74353694,68.764
"313","Pou2f1",165865154,166002678,137.524
"314","Pou3f3",42695768,42703176,7.408
"315","Ppfia4",134296783,134332928,36.145
"316","Ppox",171275990,171281186,5.196
"317","Ppp1r15b",133131143,133139783,8.64
"318","Ppp1r7",93342854,93373489,30.635
"319","Ppp2r5a",191351975,191403272,51.297
"320","Prdx6",161240112,161251219,11.107
"321","Prim2",33453810,33669795,215.985
"322","Prrx1",163245119,163313710,68.591
"323","Psap",60277627,60302597,24.97
"324","Psen2",180227004,180263438,36.434
"325","Psmd1",86064387,86139151,74.764
"326","Ptgs2",150100031,150108227,8.196
"327","Ptma",86526726,86530712,3.986
"328","Ptp4a1",30940302,30949309,9.007
"329","Ptp4a1",30940302,30949770,9.468
"330","Ptpn14",189728268,189876695,148.427
"331","Ptpn18",34459762,34475733,15.971
"332","Ptprc",138062861,138175708,112.847
"333","Ptprn",75247027,75264502,17.475
"334","Ptprv",135108497,135132594,24.097
"335","Pycr2",180904293,180908088,3.795
"336","Qsox1",155776029,155812889,36.86
"337","R3hdm1",128103301,128237736,134.435
"338","Rab21",115287084,115315594,28.51
"339","Rab23",33719887,33742564,22.677
"340","Rab5b",128677175,128696264,19.089
"341","Rabgap1l",160219174,160793211,574.037
"342","Ralb",119470305,119504794,34.489
"343","Ralgps2",156804166,156939626,135.46
"344","Ramp1",91179822,91225196,45.374
"345","Rassf5",131176410,131245258,68.848
"346","Rdh16",127801152,127846565,45.413
"347","Reps1",18055861,18125155,69.294
"348","Rev3l",39732118,39875211,143.093
"349","Rgl1",152516760,152766351,249.591
"350","Rgs16",153740349,153745468,5.119
"351","Rgs2",143999338,144004161,4.823
"352","Rgs4",169741477,169747642,6.165
"353","Rgs5",169655501,169695813,40.312
"354","Rnf149",39551296,39577405,26.109
"355","Rnf2",151458004,151500955,42.951
"356","Rnpep",135262712,135284084,21.372
"357","Rnpepl1",92910783,92924384,13.601
"358","Rpe",66700831,66719805,18.974
"359","Rpl31",39367842,39371911,4.069
"360","Rpl37a",72711290,72713813,2.523
"361","Rpl7",16101295,16104662,3.367
"362","Rps12",23785183,23787275,2.092
"363","Rps6kc1",190700202,190911770,211.568
"364","Rrs1",9545408,9547455,2.047
"365","Rxrg",167598384,167639623,41.239
"366","Sarnp",128817333,128877629,60.296
"367","Sdhc",171127165,171150603,23.438
"368","Sec63",42761496,42832514,71.018
"369","Sele",164048234,164057677,9.443
"370","Selp",164115264,164150026,34.762
"371","Sept2",93478993,93509733,30.74
"372","Sept2",93478964,93510260,31.296
"373","Serpinc1",160978585,161005863,27.278
"374","Serpine2",79794197,79861180,66.983
"375","Sf3b1",54985169,55027481,42.312
"376","Sirt1",63319005,63381704,62.699
"377","Slc11a1",74375195,74386062,10.867
"378","Slc19a1",77032241,77061002,28.761
